日期,满意,喜悦,乐观,愤怒,悲哀,恐惧,厌恶,焦虑,怀疑
2019-12-08,0,2.0,1,1,0.5,0,0,4.5,5
2019-12-09,0,3,1,2.5,1,1,0,3.5,3
2019-12-10,0,0,0,0.5,0,1,0,3.5,0
2019-12-11,0,0,0,2.5,1,0,0,0.5,0
2019-12-12,0,0.5,0,0,0,1,0,0,0.5
2019-12-13,0,0,0,0,0,0,0,0,0
2019-12-14,0,0,0,1,0,1,0,1,1
2019-12-15,0,0,0,1,0,1.5,1,2,0.5
2019-12-16,0,0.5,0,2,0,0,0,0.5,0
2019-12-17,0,4.5,1,6.0,3,6,0,2.5,0
2019-12-18,0,0,1,1,3,0,0,0,1
2019-12-19,0,1,0,5.5,0,4,0,1.5,0
2019-12-20,0,2.5,0,1,0.5,7,0,1.5,0.5
2019-12-21,0,0,0,1,1,1,1,0,0
2019-12-22,0,0.5,0,6,0,2,0,1.5,0
2019-12-23,0,4.5,0,3,0.5,38,0,5.0,0
2019-12-24,0,0,1,5.0,0,14,0,3.0,0
2019-12-25,0,1,0,0,0,4,0,6,0
2019-12-26,1,13.5,0,6.5,2,2,1,13.0,1
2019-12-27,0,1.5,3,1,0,1,0,2.5,2
2019-12-28,0,0,0,0,2,2,0,2,1
2019-12-29,0,0,0,0,0,0,0,0,0
2019-12-30,0,7,0,4.0,0,3,0,2.0,3
2019-12-31,1,5.0,15.5,5.5,0,2,0,11.0,1
2020-01-01,0,0,0,0,0,11,0,4,0
2020-01-02,0.5,7.0,4,5.5,3,1,0,28.0,1
2020-01-03,0.5,0.5,0,1,1,1,0,5,0
2020-01-04,0,3.5,0.5,1,1,1,0,4,0
2020-01-05,0,0.5,0,1.5,3.5,1.5,0.5,1.5,0
2020-01-06,1,1,0,0,3,1,1,2,0
2020-01-07,0,1,0,6,0,1,0,2,0
2020-01-08,0,10,1,0,0,11,0,5,1
2020-01-09,1,2.33,1,0.83,41,5,0,55.83,0
2020-01-10,0,1.5,0.5,1,4,2,1,22,1
2020-01-11,1,1.5,1,2.5,0,24,0,15.5,1.5
2020-01-12,1,0,0,0,0,1,0,2,2
2020-01-13,0,0,0,0,1,1,0,18,0
2020-01-14,0,1,0,3,0,2.0,1,8,1.0
2020-01-15,0,1,0,0,0,0,0,0,1
2020-01-16,0,1,0,0,3,1,0,0,0
2020-01-17,0,2.5,0,6.5,3.0,3.5,1,15.5,0
2020-01-18,0,5.0,2.5,3,0,2,0,5.5,0
2020-01-19,0.5,18.5,2.5,65.5,8,67.5,5,38.5,1
2020-01-20,43.0,144.67,30.5,162.5,31.5,107.17,29.5,244.67,9.5
2020-01-21,15.5,143.33,35.33,111.0,32.0,45.0,16,1039.33,10.5
2020-01-22,11.5,246.0,27.0,175.0,30.5,39.5,11.5,997.0,10
2020-01-23,20.5,246.33,74.33,172.0,46.5,37.5,12.5,673.83,14.5
2020-01-24,24.0,283.17,44.5,125.67,42.0,102.5,15.5,569.17,33.5
2020-01-25,9.5,220.5,125.5,97.0,50.0,38.0,5,456.0,15.5
2020-01-26,49.33,117.5,476.0,99.33,44.0,46.0,14,409.33,19.5
2020-01-27,13.5,147.33,410.5,122.83,75.5,39.0,6,367.33,6
2020-01-28,6.0,433.0,65.0,115.5,32,57.5,31,413.0,16.0
2020-01-29,13.0,288.0,258.5,97.5,16.5,50.5,12,448.5,17.5
2020-01-30,14.5,450.5,147.0,102.0,22.0,49.0,15.0,523.5,18.5
2020-01-31,22.5,413.83,62.5,93.5,46.0,174.83,22,288.83,16.0
2020-02-01,16.0,735.83,99.5,116.83,42.0,63.5,12.5,321.83,22.0
2020-02-02,46.0,572.0,101.0,94.0,40.0,32.0,13,302.5,13.5
2020-02-03,19.0,428.5,86.5,134.0,27.0,39.5,13,395.0,9.5
2020-02-04,92.5,422.83,69.5,89.67,25.5,40.83,7,436.0,9.17
2020-02-05,42.17,444.33,141.5,97.67,20.67,57.0,14.5,432.33,16.83
2020-02-06,38.0,333.17,97.5,94.33,35.33,57.0,15.33,417.33,24.0
2020-02-07,25.0,392.67,93.0,110.83,57.83,57.0,7.83,371.83,20
2020-02-08,37.0,441.0,93.0,101.0,32.5,42.5,18,356.5,8.5
2020-02-09,34.0,327.33,101.83,121.5,32.5,43.5,5.5,530.33,9.5
2020-02-10,15,160.33,72.5,62.5,17.83,22.5,6,244.0,7.33
2020-02-11,22.0,148.5,344.0,59.0,28.5,44.0,11,270.0,16.0
2020-02-12,20.5,156.33,203.5,70.33,36.5,32.0,10.5,344.33,10.0
2020-02-13,25.0,169.33,140.0,110.83,20.0,46.0,10,297.83,24.0
2020-02-14,17.0,185.33,560.5,59.33,20.5,28.0,12,333.33,6.0
2020-02-15,29.0,204.5,878.0,53.83,25,29.0,14,274.33,7.33
2020-02-16,23.83,191.5,894.83,52.5,24.5,32.5,14,302.33,18.0
2020-02-17,34.0,290.5,511.5,82.0,28.5,57,14.5,386.0,7.0
2020-02-18,34.5,344.67,119.5,108.67,42.33,39.5,19.5,407.33,18.0
2020-02-19,2,1,1,2,0,1,0,5,1
2020-02-20,50.0,293.33,123.0,86.0,46.83,34.5,14.33,519.5,16.5
2020-02-21,40.5,330.33,158.5,123.33,37.5,27.0,17.5,437.83,15.5
2020-02-22,31.5,322.83,142.0,103.33,40.5,42.0,7.0,382.0,30.83
2020-02-23,55.0,370.83,153.5,132.33,45.0,29.5,11.0,462.83,27.0
2020-02-24,52.5,357.83,143.33,112.0,34.5,46.0,9.5,406.0,25.33
2020-02-25,49.5,424.17,161.5,109.83,44.83,39.5,31.83,341.0,44.83
2020-02-26,33.83,379.5,118.5,80.33,47.5,42.5,11.0,361.83,45.0
2020-02-27,37.0,345.5,90.0,87.5,59.67,35.5,13,388.83,20.0
2020-02-28,26.5,430.5,96.0,114.5,64.5,34.5,18.5,384.5,19.5
2020-02-29,29.33,344.33,121.5,100.67,57.67,39.5,12.0,299.67,20.33
2020-03-01,45.5,488.67,80.5,103.33,74.0,48.83,10.5,375.17,19.5
2020-03-02,34.33,484.33,100.5,100.0,55.0,37.5,15,402.33,13.0
2020-03-03,44.33,510.17,101.0,101.83,62.0,32.0,8,423.83,14.83
2020-03-04,34.33,535.33,106.0,105.0,46.5,33.5,15,568.33,13.0
2020-03-05,28.5,369.67,66.5,129.83,33.83,31.5,12.5,321.33,24.33
2020-03-06,44.0,320.5,92.0,91.0,47.0,30.0,14.5,348.0,16.0
2020-03-07,37.0,289.33,84.0,110.83,41.5,46.0,22.0,502.33,23.0
2020-03-08,38.0,255.0,74.0,86.5,52.5,31.5,18,426.0,33.5
2020-03-09,35.0,228.0,70.0,170.33,45.5,38.5,14,449.33,20.33
