日期,好,乐,哀,怒,惧,恶,惊
2019-12-08,114,9,7,2,22,47,0
2019-12-09,239,63,14,30,68,97,5
2019-12-10,204,113,8,0,111,33,0
2019-12-11,14,2,1,0,19,5,0
2019-12-12,19,8,0,1,2,1,0
2019-12-13,0,0,0,0,0,0,0
2019-12-14,46,13,2,1,63,54,0
2019-12-15,133,35,16,6,91,125,2
2019-12-16,59,18,8,3,31,33,0
2019-12-17,277,109,37,12,126,181,0
2019-12-18,114,47,15,8,68,59,0
2019-12-19,205,49,6,8,87,60,1
2019-12-20,286,52,28,2,60,74,0
2019-12-21,49,20,12,9,31,39,5
2019-12-22,130,18,31,3,44,144,13
2019-12-23,206,95,43,75,122,121,6
2019-12-24,309,104,16,20,139,95,3
2019-12-25,303,73,20,5,96,76,1
2019-12-26,640,91,38,9,158,195,1
2019-12-27,164,39,6,5,40,24,0
2019-12-28,120,26,10,2,28,49,0
2019-12-29,0,0,0,0,0,0,0
2019-12-30,219,70,19,2,106,64,1
2019-12-31,765,219,48,11,1374,297,1
2020-01-01,56,11,7,3,54,40,0
2020-01-02,263,109,23,5,163,93,2
2020-01-03,305,80,35,5,198,159,2
2020-01-04,162,30,19,6,57,57,0
2020-01-05,151,48,11,9,57,67,6
2020-01-06,173,35,17,13,88,65,0
2020-01-07,174,51,8,6,47,26,2
2020-01-08,281,78,14,4,150,101,0
2020-01-09,708,519,37,6,1066,200,4
2020-01-10,419,180,23,25,310,144,6
2020-01-11,1073,201,51,11,649,265,1
2020-01-12,78,35,3,1,67,15,0
2020-01-13,185,99,18,2,171,38,5
2020-01-14,76,33,4,7,50,11,1
2020-01-15,103,14,2,0,19,6,0
2020-01-16,37,12,2,0,10,5,0
2020-01-17,369,112,23,17,392,92,2
2020-01-18,144,33,23,8,91,98,5
2020-01-19,3352,857,81,25,2410,706,12
2020-01-20,6874,1355,618,167,2939,2203,46
2020-01-21,5655,977,488,101,1134,1664,47
2020-01-22,5749,775,366,108,953,1631,43
2020-01-23,6229,1369,610,136,1240,1911,46
2020-01-24,6255,2089,661,109,1092,2068,43
2020-01-25,7513,2768,548,75,2103,2121,57
