微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IsHdKeDdc,【#你好，明天#】#金银潭医院院长获记功奖励#，多地领导干部被问责，防控疫情是一场大考，有人得高分有人不及格。干好干坏不一样，奖惩分明不含糊！欺人如欺天，毋自欺也；负民即负国，何忍负之？关键时刻顶得住，把群众安危放在心里、把防控责任扛在肩上，才能不负斯民不负国。  原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gblc5ymvnsj20u01d0qv5.jpg,无,无,2020-02-04 23:50,微博 weibo.com,29689,2188,2585
IsH6w0qfD,【#武汉加油#！#全国调配1000名ICU护士#】国家卫健委专家组成员蒋荣猛表示：武汉3家医院增设了1000张ICU床位，从全国调配1000名ICU护士，集中救治重症病人，降低病死率，这是非常重要的一个举措。 人民日报的微博视频  ,,无,无,无,2020-02-04 23:32,微博云剪,87337,1541,3714
IsH65o6e6,【现场视频！#探访武汉方舱医院#】武汉在武汉国际会展中心、洪山体育馆、武汉客厅建设“方舱医院”，用于收治新型冠状病毒感染的肺炎轻症患者。其中洪山体育馆方舱医院共三个场馆，分为主场馆、副场馆和地下的羽毛球场馆，预计有700个床位。该方舱医院预计最快今天晚间投用。  人民日报的微博视频  ,,无,无,无,2020-02-04 23:31,微博视频,20403,1004,2391
IsH5LhMsC,【山西一#确诊男子拒绝居家隔离被立案#侦查】2月4日，山西省阳泉市公安局发布警情通报称，阳泉市公安局城区分局昨日依法对周某（男，阳泉城区人）涉嫌以危险方法危害公共安全罪立案侦查。经查：1月23日，周某驾车从湖北省襄阳市出发，于24日18时回到阳泉。在民警及社区工作人员依法依规告知且要求其居家隔离的情况下，周某拒不执行卫生防疫机构的预防、控制措施，仍参加家庭聚会，甚至到公共场所活动与他人接触。目前，周某已确诊为新型冠状病毒感染的肺炎病例，并隔离收治。周某的行为违反《中华人民共和国刑法》《中华人民共和国传染病防治法》等国家有关法律法规和山西省阳泉市新型冠状病毒感染的肺炎疫情防控工作领导小组的通告，严重干扰破坏疫情防控工作，现周某涉嫌以危险方法危害公共安全罪被公安机关立案侦查，采取相关措施，案件正在进一步侦查中。 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gbksezi767j20ob0obk0y.jpg,无,无,2020-02-04 23:30,微博 weibo.com,12803,602,1813
IsGYlc3Mh,【#北京2022冬奥会倒计时两周年#】新年伊始，很多人都动过“重启”2020的念头。今日立春，也正逢2022年冬奥会倒计时两周年，一同立蛋祈福，卸下焦虑重启自我。目前疫情防控仍在继续，相信我们能够打赢这场“疫情防控阻击战”，2022相约北京，共赴冬奥！戳链接↓↓http://t.cn/A6PWFSid  原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gbkrvu2x77j20ku112tdr.jpg,无,无,2020-02-04 23:12,微博 weibo.com,6946,468,701
IsGT7BCg8,【#南京实施小区封闭式管理#】南京发布进一步加强疫情防控期间小区管理的通告：全面实施小区封闭式管理，所有进出小区人员必须全部戴口罩。严格小区往来车辆人员核查登记。加强小区环境治理和出租房管理。#出租房发生疫情未报告追责房东# ，即如出租房发生疫情而未及时报告，将依法追究房屋出租单位或个人的责任。http://t.cn/A6P8T8cA [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gbkrgla4z0j20ll0mk76s.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gbkrh7v0lrj20ob0obk0y.jpg",无,无,2020-02-04 22:59,微博 weibo.com,13016,777,2459
IsGOvCcX7,【杭州2名#房东隐瞒来自疫区承租人员被行拘#】2月4日，浙江杭州@余杭公安 通报，当地2名出租房房东因隐瞒不报疫区承租人员，拒不配合防疫工作，被行政拘留。警方查明，余杭区南苑街道李某将房子出租给胡某（女，湖北十堰市人）。1月下旬至2月1日，街道、社区人员在进行疫情防控排查时，李某明知胡某丈夫张某（男，湖北十堰市人）为重点疫区来杭人员，未履行主动报告职责，导致张某未被隔离。良渚街道的王某将房子租给邬某（女，湖北武汉市人）。1月19日，胡某（女，湖北武汉市人）从武汉来杭州，入住女儿邬某的出租房。1月22日，胡某身体不适前往医院，后被确诊为新冠肺炎。经调查，房东王某未履行主动报告职责，且在村干部上门开展防控排查时未如实告知。 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gbkr2yhraqj20j60sitei.jpg,无,无,2020-02-04 22:48,微博 weibo.com,9372,541,1147
IsGFHvbdG,【速扩帮寻！#哈尔滨新增18例患者活动轨迹#】2月4日晚9时许，哈尔滨市疫情防控工作第三场新闻发布会发布了2020年2月3日零时至2月4日零时，哈市新增的18例确诊患者活动轨迹。详戳↓（人民日报记者方圆） 哈尔滨发布新增18例确诊患者情况及活动轨迹  ,,无,无,无,2020-02-04 22:26,微博 weibo.com,3796,844,941
IsGAsuMXd,【#武汉加油#！因为有信念，我们必将打赢这场阻击战！】我们正经历一场严峻考验，致敬抗疫一线的所有人，因为有你，我们必将携手战胜疫情，度过这个难忘的春天。@X玖少年团肖战DAYTOY @阿云嘎Musical @卡布叻_周深 @MD_摩登兄弟 @任贤齐 @李克勤 @那英 带来#爱在东方抗疫诗朗诵#↓一起为武汉加油，为中国加油！  http://t.cn/A6P80KGg ,,无,无,无,2020-02-04 22:13,微博视频,151449,400990,13125
IsGh025Qo,#探访武汉方舱医院#【武汉#方舱医院1100张床位5日启用#】据湖北日报，武汉体育中心建设“方舱医院”，该中心启用主体育馆和羽毛球训练馆两个馆作为“方舱医院”，总共容纳1100张床位，其中4300平方米的主体育馆将放置600张床位，3400平方米的训练馆将放置500张床位。武汉开发区有关负责人表示，5日零时启用。http://t.cn/A6P8VCrT [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gbkorqdv16j20hs0cgt9h.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gbkorqei64j20hs0d8wg1.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbkorqegxnj20hs0c6dgt.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gbkorqf8nmj20hs0c5t9o.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gbkorqei6sj20hs0bydgm.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbkorqjemmj20hs0c63zm.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbkorqlv13j20hs0cy75d.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gbkorqs58lj20hs0d9dgv.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gbkorqmp43j20hs0c8jsi.jpg",无,无,2020-02-04 21:25,微博 weibo.com,15816,539,1773
