IAs3227xu,【#G20将启动价值5万亿美元经济提振计划#】沙特国家电视台消息显示，二十国集团领导人应对新冠肺炎特别峰会当地时间26日下午正式闭幕。峰会公报显示，二十国集团将致力于与世界卫生组织、国际货币基金组织、世界银行、联合国和其他国际组织一道，为战胜疫情做出一切努力，重点保护民众生命和健康、保障就业与收入、恢复信心、保持金融稳定并促进经济恢复，最大限度地降低疫情对贸易和全球供应链的影响程度，并向所有需要援助的国家提供帮助，同时协调公共卫生和财政政策。二十国集团将启动总价值5万亿美元的经济计划，以应对疫情对全球社会、经济和金融带来的负面影响，并支持各国中央银行采取措施促进金融稳定和增强全球市场的流动性。（央视） 原图 ,2020-03-26 23:55,4160,490,572
IArNhptsb,#暂停持有效中国签证的外国人入境#【外交部：28日起#暂停持有效中国签证居留许可的外国人入境#】中方决定自2020年3月28日0时起，暂时停止外国人持目前有效来华签证和居留许可入境。暂停外国人持APEC商务旅行卡入境。暂停口岸签证、24/72/144小时过境免签、海南入境免签、上海邮轮免签、港澳地区外国人组团入境广东144小时免签、东盟旅游团入境广西免签等政策。持外交、公务、礼遇、C字签证入境不受影响。外国人如来华从事必要的经贸、科技等活动，以及出于紧急人道主义需要，可向中国驻外使领馆申办签证。外国人持公告后签发的签证入境不受影响。这是中方为应对当前疫情，参考多国做法，不得已采取的临时性措施。中方愿与各方保持密切沟通，做好当前形势下中外人员往来工作。中方将根据疫情形势调整上述措施并另行公告。 原图 ,2020-03-26 23:16,984292,34194,40789
IArfi0I1f,【#全球华人接力记录疫情#】命运与共，人类加油！（人民号：万能编辑部）  人民日报的微博视频  ,2020-03-26 21:52,4668,1106,555
IAr4cpmch,【#广东明确境外入粤政策包含港澳台#：#港澳台入粤人员全自费集中隔离#】记者从省疫情防控指挥部办公室获悉，根据当前国际疫情扩散形势和我国港澳台地区疫情的变化情况，经报请国家有关部门同意，广东进一步严格境外疫情输入防控。自3月27日6:00时起，对所有经广东口岸入境人员（含港澳台地区，含中转旅客）实行核酸检测全覆盖，并集中隔离医学观察14天，集中隔离食宿费用自理。对保障港澳正常生产生活的特定人员和承担粤港澳急需物资运输的跨境司机、船员等，暂不实施集中隔离医学观察，但全部实行核酸检测，并对其严格加强全流程健康管理，确保闭环运作。广东将密切关注境外疫情发展，进一步加强与港澳特区政府的沟通合作，继续强化粤港澳疫情联防联控，实施全流程健康监测管理，全方位织密织牢境外疫情输入防护网。（人民日报记者贺林平） 原图 ,2020-03-26 21:25,132847,4883,8138
IAqHxjzUj,【辛苦了！#隔离点医护人员的日常#，有时凌晨四点还在倒垃圾】这两天，在西安市雁塔区新冠肺炎观察隔离点，来自长安大学校医院3名年轻的护士王艳妮、杨兰、李美娟一直在忙碌。设立隔离点后，她们主动申请到抗疫一线，负责接收隔离人员、安排入住，每天三次测体温、送餐，对每个楼层的垃圾进行打包、消杀、称重、运送.....每天工作十几个小时，轮班倒，很多时候要加班到凌晨三四点。http://t.cn/A6ZwEJC3 ,2020-03-26 20:29,33575,2557,3104
IAqhjeDRf,【#中央要求对陆运口岸入境人员集中隔离#：#防控境外疫情经陆路水路输入风险#】26日，中央应对新冠肺炎疫情工作领导小组召开会议，指出境外疫情大流行呈加速趋势。要加强航空口岸疫情输入输出防范。关爱帮扶我在境外公民，为陷入困境人员提供特殊帮助。压实属地责任，加强陆路水路防输入输出工作。除边民和外交、重要经贸科技人员外，对陆运口岸入境人员按规定集中隔离。  http://t.cn/A6ZAYGSv ,2020-03-26 19:25,4597,441,514
IAq96qfjD,【最新数据：#中国以外新冠肺炎384434例#，美国69171例】截至北京时间3月26日12时，除中国外，197个国家和地区累计确诊383722例新冠肺炎，“钻石公主”号邮轮712例。转发关注#新冠肺炎疫情全球走势#。  原图 ,2020-03-26 19:04,4654,639,1016
IApYEE5qY,【#俄罗斯版火神山医院#来了！】为弥补医院传染病床位不足的短板，#俄罗斯效仿火神山雷神山经验#，在莫斯科新城区科穆纳尔卡紧锣密鼓地兴建专门用于收治新冠肺炎患者的医院，施工正昼夜不停地进行。该医院预计今后几周之内能够竣工并投入使用。此外，俄罗斯副总理还表示：“我们认真研究了中国人的经验，看他们是怎么建（方舱医院）。”俄罗斯还出版了俄文版抗疫科学指南，该指南是依据中国医务人员从2019年底到2020年初的临床经验写成的。（人民日报记者张光政） [组图共6张] 原图 ,2020-03-26 18:39,49330,1254,2445
IApqQbNTr,【今日18时起，#入境上海全部人员一律隔离14天#】@上海发布 ：为进一步做好防控境外疫情输入工作，上海市新冠肺炎疫情防控工作领导小组办公室决定，自3月26日18时起，对入境来沪的全部人员，一律实施为期14天的隔离健康观察（对入境的外交人员和从事重要经贸、科研、技术合作的人员，另有规定的按规定执行）。各区、各有关部门要严格落实联防联控责任，严防境外疫情输入。 原图 ,2020-03-26 17:15,39150,1197,4123
IApnp8MX5,【#德国新冠肺炎累计确诊36508例#，#德国高考仍将按计划举行#】根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截至当地时间3月26日0时，德国共确诊36508例新冠病毒肺炎感染病例，其中死亡病例198例。较3月25日0时，新增4954例，新增死亡49例。据德媒报道，德国各州文化部长25日召开电话会议，决定暂不取消今年的中学毕业考试。（花放） 原图 ,2020-03-26 17:07,3919,153,581
