微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IyVIfbVXO,【#摩纳哥政府首脑新冠病毒检测呈阳性# 】摩纳哥政府16日在社交媒体推特上宣布，摩纳哥政府首脑、国务大臣泰尔新冠病毒检测结果呈阳性。　　摩纳哥政府说，泰尔目前只表现出“很少症状”，健康状况“一点不令人担忧”，目前已经自我隔离，在家里从事各项公务活动。  ,,无,无,无,2020-03-16 23:46,专业版微博,1047,38,142
IyVAnChSP,【#长征七号改中型运载火箭发射任务失利# 】16日21时34分，中国在文昌航天发射场组织实施长征七号改中型运载火箭首次飞行任务，火箭飞行出现异常，发射任务失利。后续将组织专家对故障原因进行调查分析。  ,,无,无,无,2020-03-16 23:26,微博 weibo.com,1895,89,320
IyUQr21lL,【美股触发本月第三次熔断！】@凤凰网财经 讯，北京时间周一（3月16日），美股大幅低开，道指跌9.78%，纳指跌6.12%，标普500指数跌7.47%，触发本月第三次熔断，美股暂停交易15分钟。美股触发本月第三次熔断！  ,,无,无,无,2020-03-16 21:33,微博 weibo.com,743,83,191
IyTMHlTJq,【#伊朗新增1053例新冠肺炎#，#伊朗累计确诊升至14991例#】伊朗卫生部3月16日宣布，过去一天伊朗境内新增新冠肺炎感染者1053例，累计14991例，新增死亡129例，累计853例，已有4996人治愈。（人民日报记者周輖）  ,,无,无,无,2020-03-16 18:51,微博 weibo.com,3139,19,161
IyTpKexko,【#航司回应伦敦飞上海单座18万#：属实 系公务机】伦敦经停日内瓦飞上海的包机单个座位18万起的海报热传。3月16日，工作人员回应，上述包机一共40座，机票很快就售罄。目前还可接受预约的是12到14座的公务机，“大概12到14人的，165万左右”。近期伦敦飞上海仍有多趟航班，价格从几千元到数万元不等。@新京报我们视频 http://t.cn/A6zChoGo ,,无,无,无,2020-03-16 17:55,微博 weibo.com,2281,101,199
IySXQaQdj,【钟南山：疾控中心应有一定的行政权，紧急情况下可发出预警】钟南山认为，CDC（疾病预防控制中心）不应该仅仅是一个单纯的信息收集的技术机构，应该被赋予更大的权力。钟南山团队曾经预测，“如果封城行动再往前5天，到现在为止，全国的病例数或许只有2万左右；但是推后5天，全国到3月份后的发病峰值应该是17万。”他认为，早期的科学防控举措是极为重要的。这些工作应该是CDC来做、来进行研判、预测。必要的紧急情况下，CDC应该有权力向社会发出预警。强调加强CDC建设，提升CDC地位，正是为了争取疫情防控时间窗。http://t.cn/A6zCBCuz http://t.cn/A6z9i32v ,,无,无,无,2020-03-16 16:46,深度报道 · 视频社区,1366,247,201
IySLaqBwT,"【台湾节目吹捧陈时中 用的竟是武汉护士的照片...】 3月13日的一档台湾节目中，号称资深媒体人的丁学伟竟然拿着一张武汉医护人员照片，声情并茂地讲（编）述（造）了一个关于台湾""卫福部部长""陈时中的感人防疫故事...#一国两智# @微丢 微丢的微博视频  ",,无,无,无,2020-03-16 16:15,微博 weibo.com,2673,186,416
IySArj8lL,【#中国暂停大陆港口始发国际游轮#】交通运输部海事局副局长杨新宅在国务院联防联控机制召开新闻发布会上说，我国曾发生歌诗达赛琳娜邮轮、歌诗达威尼斯邮轮两起事件，当时两艘船舶均发现有发热旅客。第一时间暂停了我国大陆港口始发的国际邮轮，涉及到全球7家国际邮轮业务的公司，10艘国际邮轮。同时，中日、中韩之间的客运邮轮也暂停了。http://t.cn/A6zCTZsc 原图 ,,http://wx4.sinaimg.cn/large/9be419dbly1gcvtcjmo4cj20hm08c0t7.jpg,无,无,2020-03-16 15:48,微博 weibo.com,6736,102,250
IySnS3Me2,【亚洲人在美国遭歧视 美国人吐槽：这种行为很荒谬】#美国人指歧视华人很荒谬# 截至美东时间15日下午14时20分，美国累计确诊感染新冠病毒总人数3244例，其中纽约769人确诊，成为全美最严重的州。3月13日，特朗普宣布，美国进入国家紧急状态。凤凰网特约观察员带您走上纽约曼哈顿街头，看看当地人对疫情的看法。谈及亚洲人被歧视的行为，有美国人表示：“这很低智商，很荒谬！”http://t.cn/A6zCoKTO ,,无,无,无,2020-03-16 15:17,深度报道 · 视频社区,8999,531,808
IyRMcw4wj,【河北53岁农妇骑三轮车经过村口 撞上防疫卡点钢丝绳后死亡】#钢丝绳卡死农妇#3月12日，河北衡水市景县一名53岁的农妇王志云，在骑电动车经过离家几公里的孙德厢村时，被路口封村用钢丝绳拦下，导致死亡。孙德厢村的村支书刘某某称，没有接到解除封闭的通知：“国家并没有明文规定用什么封村，也没有规定不能用钢丝绳”。王志云的家属拒绝了孙德厢村18万的赔偿方案，家属质疑孙德厢村私设路障，在路两边一人高位置拉钢丝绳，没人值班，重大安全隐患不及时撤除，该依法追究孙德厢村方面相应责任。早在2月15日，国务院三部门发布紧急通知，要求坚决纠正一些地区封村封路、一概劝返等不恰当做法。而2月26日，衡水市疫情防控指挥部再次通告要求所有社区（村庄）继续实行封闭式管理。http://t.cn/A6zCGkir  http://t.cn/A6zCqPWC ,,无,无,无,2020-03-16 13:44,微博视频,3953,280,556
IyQidcjJL,【“群体免疫”争议背后：还原英国抗疫逻辑 | 风向】“群体免疫“的核心主张是如果绝大多数人（60%）感染这种病毒后能够建立群体免疫力，那么更多的人就会因此而受益，过分抑制可能会在之后造成疫情反弹。3月14日，#英229名科学家公开抨击群体免疫思路#称现有策略太冒险。英国到底是不是“0措施”？“群体免疫”究竟靠不靠谱？英国抗疫模式背后有哪些深层次的原因？我们以英国政府应对疫情最初的政策方针为起点，回归原始的一手资料，呈现争议，还英国抗疫逻辑➡ http://t.cn/A6z9K52d [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/9be419dbly1gcvj8vszjmj21630u0jvx.jpg,http://ww4.sinaimg.cn/large/9be419dbly1gcvj8vrr34j20e809i3yr.jpg,http://ww2.sinaimg.cn/large/9be419dbly1gcvj8vtdu6j21di0u0jvo.jpg,http://ww1.sinaimg.cn/large/9be419dbly1gcvjae6hu4j20jg0ay0tu.jpg,http://ww3.sinaimg.cn/large/9be419dbly1gcvj8vrwphj20go08cq3d.jpg,http://ww4.sinaimg.cn/large/9be419dbly1gcvj8vsgtjj20go0eq0uw.jpg,http://ww3.sinaimg.cn/large/9be419dbly1gcvj8vt0mlj20xb0k0n24.jpg,http://ww3.sinaimg.cn/large/9be419dbly1gcvj8vv5iej20zi0manpd.jpg,http://ww1.sinaimg.cn/large/9be419dbly1gcvj8vtu91j20lo0c6mym.jpg",无,无,2020-03-16 09:58,微博 weibo.com,1587,136,381
IyQ8YuAla,【#凤凰全球疫情日报#】#中国以外确诊病例超过中国# 截止3月16日9点22分，中国累计确诊新冠肺炎81077例，海外累计确诊85382例，中国以外确诊总数已超过中国。更多海外疫情报道，关注凤凰全球疫情专题→http://t.cn/A6zZHubU  原图 ,,http://wx3.sinaimg.cn/large/9be419dbly1gcvjq3l33zj20u08goe81.jpg,无,无,2020-03-16 09:35,微博 weibo.com,4915,124,435
IyPWZ4t7d,【#桂林服务区设立湖北籍专厕# 官方回应：特殊时期特殊处理】一湖北籍男子在前往广西南宁途中，发现桂林永福服务区公厕有两个位置贴有“湖北籍厕位”标志，男子感到很气愤：“湖北为抗疫做出了很大贡献和牺牲，难道外边的人对湖北人这样吗，沿途都核对健康证，没问题才能走，既然湖北人可以出来，就证明没有问题了。但进来后也没人查你的身份证是哪里的，估计也只是做做样子给人看。”永福卫健委回应称，一个地方有一个地方的措施，这是特殊时期采取的特殊处理办法，只是防治，没有权利实行人员管控。http://t.cn/A6z9IyCk  http://t.cn/A6z9IqZi ,,无,无,无,2020-03-16 09:05,微博视频,5461,377,778
IyPJFattT,【昨日全国新增新冠确诊病例16例：武汉4例，境外输入12例】3月15日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例16例，新增死亡病例14例（湖北14例），新增疑似病例41例。截至3月15日24时，现有确诊病例9898例（重症3032例），累计治愈出院病例67749例，累计死亡病例3213例，累计报告确诊病例80860例，现有疑似病例134例。累计追踪到密切接触者680462人，尚在医学观察的密切接触者9582人。湖北新增确诊病例4例（武汉4例），新增治愈出院病例816例（武汉752例），新增死亡病例14例（武汉13例），现有确诊病例9605例（武汉9150例）。3月15日0—24时，新增报告境外输入确诊病例12例（北京4例，广东4例，上海2例，云南1例，甘肃1例）。截至3月15日24时，累计报告境外输入确诊病例123例。更多疫情报道详见凤凰专题→http://t.cn/A6PMVo4j 原图 ,,http://wx1.sinaimg.cn/large/9be419dbly1gcvgxu1pqjj20m2139tf5.jpg,无,无,2020-03-16 08:33,微博 weibo.com,510,31,88
IyOt5FjVV,【#美联储降低基础利率至零# 并推出7000亿美元量化宽松计划】据美媒报道，美联储称，新冠疫情已经给包括美国在内的很多国家的社会和经济造成损害，为应对疫情的影响，美联储从15日起降息至0-0.25，并推出7000亿美元规模的量化宽松计划。美联储主席鲍威尔将于当地时间18时召开记者会。  ,,无,无,无,2020-03-16 05:19,微博 weibo.com,914,59,90
IyMYz0kaZ,【#意大利新增3590例新冠肺炎# 】据荷兰媒体BNO16日报道，意大利报告新增新冠肺炎确诊病例3590例，新增死亡病例368例，累计确诊病例24747例，累计死亡1809例。意大利新增新冠肺炎确诊病例3590例  ,,无,无,无,2020-03-16 01:31,专业版微博,8792,193,920
IyLOAvAeq,【外媒：#德国将关闭法奥瑞三国边境#】据德国报纸《Bild》15日消息，担忧新冠肺炎疫情蔓延，德国将从当地时间3月16日开始关闭与法国、奥地利和瑞士的边境。外媒：德国将关闭与法国、奥地利和瑞士的边境  原图 ,,http://wx1.sinaimg.cn/large/9be419dbly1gcuzhyzv9wj20ok0jmwvh.jpg,无,无,2020-03-15 22:34,微博 weibo.com,472,56,143
IyLfs9Uze,【欧美#回国机票一票难求#，18万一个座位瞬间售罄】3月以来，中国国内的新冠疫情得到了一定的控制，但中国境外新冠肺炎确诊病例却在两周内增加了15倍。面对国外越来越严峻的疫情形势，不少在外华侨，留学生都开始选择回国来躲疫情，这也催生了回国机票的一票难求。截至周五，3月欧美直飞回上海的机票已基本售罄。不过，不少仍未与欧美断航的国内二三线城市仍有少量余票，但回程的经济舱票价也已经上万，更有提前包下航司座位的机票代理顺势涨价，经济舱也叫出3万的高价。http://t.cn/A6zKZdIk 原图 ,,http://wx1.sinaimg.cn/large/9be419dbly1gcux1geyubj20b107775c.jpg,无,无,2020-03-15 21:07,微博 weibo.com,10892,278,1812
IyJFC0bU2,【英国卫生大臣：“群体免疫”不是我们的目标或政策】据英国天空新闻网消息，英国卫生大臣表示:“群体免疫不是我们的目标或政策——它是一个科学概念。我们的政策是保护生命，战胜这种病毒。”此外，英国卫生大臣还表示，计划在未来几周内采取行动隔离70岁以上的老人，保护他们免受冠状病毒感染。http://t.cn/A6zoxtzP ,,无,无,无,2020-03-15 17:06,微博 weibo.com,941,63,239
IyIqTq2nO,【孝感一幼女家中死亡 其母未发现有精神病史已被立案侦查】#湖北家中死亡幼女母亲无精神病史# 孝感市人民政府新闻办公室官方微博今日发布警情通报称，3月14日，孝感市高新区丹阳办事处理丝社区发现居民邓某某独自抚养的幼女死亡。经调查，目前未发现邓某某有精神病病史记录。现场勘查，邓某某家中有大米、奶粉、蔬菜、水果等生活物资，水、电、气完好可用，基本生活设施齐全。公安机关已对邓某某涉嫌犯罪立案侦查。http://t.cn/A6zSHnoK ,,无,无,无,2020-03-15 13:57,微博 weibo.com,559,39,189
IyIoMxEB0,【新京报：听了“方舱医院真神奇”，我掉了一地鸡皮疙瘩】“方舱医院真神奇，治病救人教舞技。医生护士才艺多，各领病人来一曲。”近日，一首名为《方舱医院真神奇》的儿歌受到关注，其过于欢快的曲风，引发一些争议。@新京报 的评论认为：抗击疫情是一件严肃而沉重的事情，将方舱医院化为欢快儿歌的素材，不仅淡化了抗疫的灾难底色，也消解了抗疫的严肃性。它并不让人觉得，这是在向医护人员表达敬意，向曾经在此治疗的患者表达宽慰，反而是在强行歌颂灾难。文章称，这首歌曲的本意，也是歌唱武汉方舱医院医患尝试各种方式加速康愈、强身健体、携手共战疫情的乐观主义精神。但问题是，艺术创作不能为了高于生活而脱离生活，文艺作品的创作应该建立在正视“疫情带来的伤痛”这一基础之上，去记录那些“有血有肉”的形象，而不是像“方舱医院真神奇”这般缺乏共情的虚美。不知道，那些曾经亲历方舱医院的医护和感染者，听到这首歌时会作何感想？http://t.cn/A6zaO9DI http://t.cn/A6zSTIUn ,,无,无,无,2020-03-15 13:52,微博 weibo.com,38130,3183,2352
IyGQWtCSe,【#凤凰全球疫情日报#】截至北京时间3月15日9时，除中国外，全球136个国家和地区累计确诊73736例，累计死亡2586例。另外，特朗普新冠病毒测试结果呈阴性，世卫组织宣布欧洲是全球疫情重灾区。http://t.cn/A67p5SYt  原图 ,,http://wx2.sinaimg.cn/large/9be419dbly1gcudm9mfj2j20u085jb29.jpg,无,无,2020-03-15 09:56,微博 weibo.com,286,151,105
IyGO5rW5w,【#武汉回应殡葬车运送团购物资#：所长免职副局长被立案】据黄陂区新冠肺炎疫情防控指挥部通报：3月14日晚8时50分，武汉市黄陂区委、区纪委发现江岸区海赋社区微信群反映“社区用殡仪馆车辆运送团购物资”，立即组织核实处理。经查，当日下午3时20分左右，黄陂区乡镇殡葬车辆社会承包人吕某违规用所承包经营的殡葬用车给家住江岸区海赋江城小区的亲戚陈某运送生活物资，所送生活物资系殡葬用车承包人吕某个人购买，不是社区团购物资。吕某的行为造成不良社会影响。经黄陂区纪委研究并报区委同意，对区殡葬管理所所长敖浩予以免职，并党纪立案审查；对区民政局党组成员、副局长骆文俊予以党纪立案审查；责成区殡葬管理所解除与吕某殡葬用车承包经营协议，并依法追究违约责任。3月14日晚，武汉市江岸区新冠肺炎疫情防控指挥部回应“社区用殡仪馆车辆运送团购物资”一事时表示，经核实，此为不实信息。吕某所驾车辆非江岸区车辆，车上物资系吕某私人购买，并非社区团购物资。http://t.cn/A6zaHBzo ,,无,无,无,2020-03-15 09:49,微博 weibo.com,838,101,265
IyGnPCWPO,【男子自称5人自湖北返回浙江后#隔离14天交了1万多房费# 当地回应】近日，一湖北男子自拍视频称，其返回浙江省慈溪市集中隔离，一行五人向酒店支付14000元的房费。3月14日晚，慈溪市新冠肺炎防控办公室工作人员告诉记者，从湖北返回慈溪人员需要接受集中隔离，隔离费用是否需要自理，慈溪市各街道（镇）有不同规定，上述五人所在街道则要求个人自理全部隔离费用。记者了解到，慈溪市各街道（镇）不同隔离点收费标准在200元至800元不等。上述工作人员还向记者表示，目前若无紧急情况，不建议滞留湖北人员返回慈溪市，需返回的，可提前致电所在街道（镇）的新冠肺炎防控办公室了解情况。对此事，另有报道引述慈溪市防疫指挥部工作人员的说法，称男子“私自带几个孩子从湖北出来，无任何手续进村”。并表示，若有手续就不会收费，没手续则按酒店标准收费。http://t.cn/A6zaaUxU http://t.cn/A6zXLuls ,,无,无,无,2020-03-15 08:44,微博 weibo.com,2446,88,843
