博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间,二级评论点赞
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,大_CC__,拿吃野味的去做实验最好,2020-2-10 13:55,36,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,大浪卷小浪,武汉病毒所能不能自己先试试,2020-2-10 13:51,40,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,玩睡晚睡玩完睡,当年sars疫苗的研究就不该停,2020-2-10 13:53,22,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,中ku晨仔,希望是成功的好消息！,2020-2-10 13:50,13,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,FrozenCongelees,Rna病毒太容易变异怎么做疫苗哇,2020-2-10 13:53,1,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,失去了Jerry的Tom,有没有人可以告诉我，投入临床这个概念我们理解的可以全面普及是不是一个概念？,2020-2-10 14:14,,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,青山与茉莉0416,科学家们真的辛苦了,2020-2-10 14:33,1,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,Sangrui3719,等你进入临床试验，都死了多少人了,2020-2-10 14:25,4,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,菩提莲华子,南无阿弥陀佛🙏🙏🙏,2020-2-11 04:01,,,,,
https://weibo.com/2615417307/ItxQZhC10,,,,,,,,,,,,,,,,,
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,C_2090,辛亏及时隔离船只了。。不然这3700个人里，潜伏的疑似的确诊的得传多少啊。。。。。。,2020-2-10 13:40,287,胡拉啊,"
                        胡拉啊：是不是用的中央空调？                    ",2020-2-10 14:44,14
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,walking-Vera,中央空调要命啊,2020-2-10 13:40,189,walking-Vera,"
                        walking-Vera：回复@耿家小四:CDC的话还能信多少宁可信其有 做好防护。密闭环境气溶胶感染几率还是蛮大的，不同于户外，也不同于非疫区。                    ",2020-2-10 13:53,4
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,walking-Vera,中央空调要命啊,2020-2-10 13:40,189,耿家小四,"
                        耿家小四：一遍边强调空气传播几率不大，一边又不让开空调……我也觉得空调很危险                    ",2020-2-10 13:52,4
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,Nedved10398,这么狭小的空间，全封闭在上面，先接下来单独隔离才好啊，在船上就是在等发病,2020-2-10 13:40,119,我要承包阿归的辣条和榨菜,"
                        我要承包阿归的辣条和榨菜：说不好听点现在就是这用一船人换全日本的安全也是划算的，真要是放出去蔓延开了日本可能就完了                    ",2020-2-10 15:06,10
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,Nedved10398,这么狭小的空间，全封闭在上面，先接下来单独隔离才好啊，在船上就是在等发病,2020-2-10 13:40,119,PETA亚洲善待外星人组织,"
                        PETA亚洲善待外星人组织：三千多个人，接下来隔离的话，工作量也是非常大的，稍有不慎万一传染出去就完了                    ",2020-2-10 13:55,8
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,喝下午茶的miao,中央空调，那种没有窗户的船舱，估计里面的人会疯掉的，连呼吸新鲜空气的机会都没有,2020-2-10 13:45,45,小谢要认真画图,"
                        小谢要认真画图：借楼:这种全空气系统风险很大，类似于商场的。办公楼的是办集中式的一半没问题。但无论哪种都有新风的，所以不存在没有新鲜空气。                    ",2020-2-10 14:20,1
https://weibo.com/2615417307/ItxMu2Djv,凤凰网, 2020-2-10 13:39,微博 weibo.com,"
                                                                                                                        【#日本邮轮新增60例新冠肺炎#】据日媒消息，在停靠日本横滨港的“钻石公主”号邮轮上，又有约60例新冠病毒感染肺炎病例被发现，累计确诊已达约130例。O日媒：“钻石公主”号邮轮上又新增约60例新冠肺... ​​​​                                            ",146,,1659,http://wx1.sinaimg.cn/mw690/9be419dbly1gbr90hgmvsj20hs0a274p.jpg,,果海鸟不可分,这邮轮上的人该不会全是牺牲品吧,2020-2-10 13:40,83,冰冰cyan,"
                        冰冰cyan：都得感染，剩下的没发病的估计是隐形携带，总之这一船人还不如直接拉到医院去治疗，早晚都得进，现在不过是分批进                    ",2020-2-10 13:50,19
