微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J8VEe7tvJ,【29岁的“退休程序员”郭宇： 有钱的人不一定自由，自由的人不一定有钱】如果能回到十几年前，可以重新遵从自己的意愿去选择，我想当作家。但那个时候，如果跟父母说想当作家，他们不打死你就不错了。我曾经放弃了一些更想做的事，比如说看书、写作，反正就是纯粹意义上的自由。自由不是一种想干嘛就干嘛的状态，而是我想不干嘛就不干嘛。这次离职，我妈说，“你开心就好，平常出门注意安全。”我觉得所谓财富和自由，是两码事。财富代表你有没有钱，自由代表你是不是有自己能选择的权利。有钱的人不一定自由，自由的人不一定有钱。年纪越大，接触的人越多，按日本的说法，是人生当中的羁绊越多，你选择的空间越小。我是一个自私的人，不选择这么多羁绊，只想遵从内心。http://t.cn/A6LFxbLH 原图 ,,http://wx4.sinaimg.cn/large/61b8c41egy1gg9j77v4cjj20ku0dwx27.jpg,无,无,2020-06-29 22:32,微博 weibo.com,407,85,61
J8VCG79PG,第十二届#中国企业社会责任年会#拍了拍你，并发来一张责任先锋们带来的邀请函——@陈坤 @陈数 @黄晓明  @我就是我邹市明 王仁荣、于建嵘、陈越光……他们身份各异，或是企业家，或是明星名人，或是NGO发起人，或是社会责任研究者……他们因责任产生交集，在不同领域推动社会进步和创新实践。点击视频，倾听他们的责任心声http://t.cn/A6LDQz6g ,,无,无,无,2020-06-29 22:28,微博 weibo.com,128,95,35
J8Rne9eaJ,【丽水：减缓相对贫困的浙江样本】“九山半水半分田”是丽水的生态资源禀赋。钟汉民所在的青田县巨浦乡西坑村有577亩耕地，大多数处于丘陵地区，农业生产效益差，导致很多农田抛荒。2019年春天，为减缓相对贫困现象，村里聚焦于产业扶贫，开发推行“贝母＋稻鱼共生/旱粮”轮作种养的“西坑模式”，为村民增收。钟汉民也入了股，在家门口干活。如今这时节，他天天忙着挖贝母——一种可供药用的草本植物。“一块土地，充分利用。贝母从11月长到5月底就收获了，6月初种下水稻，正好10月份收成，这期间还能养鱼，效益最大化。”巨浦乡党委书记黄晓彬对南方周末记者说。黄晓彬坦承，一开始找销路确实是个难题，后来县政府也帮忙想办法。稻鱼米采取订制模式，由县里一家公司提要求，按要求种植，公司全部收购。正在丰收的贝母，也联系上了一家公司收购，且收购价有保底。如果市场价高于保底价，那么按照市场价收购；如果市场价低于保底价的，那就按照保底价收购。http://t.cn/A6LDFohm 原图 ,,http://wx1.sinaimg.cn/large/61b8c41egy1gg90c13ndij20ku0dw4q5.jpg,无,无,2020-06-29 11:39,微博 weibo.com,27,14,9
J8RcFCHJx,【西海固最后一个贫困县：补贴贷款养牛，期货对冲风险】陈晓宁认为，补贴用于脱贫，致富则要靠贷款。“银行敢贷说明对产业利润有信心。”张维山也觉得，贷款是比补贴更好的政策工具。“政府发放补贴，发完就结束了，银行放了贷款，我们有足够的监管动力。”“村民安土重迁，爱惜名声，逃贷很少见，”他说，“过去与其说是银行不敢贷，不如说是村民不敢借。”以毛坪村为例，2016年，驻村工作队好说歹说，才说动了三十来户贫困户。“缺资金又怕贷款是当时不少贫困户的共同点。”该村第一书记张成明回忆道。村民宋义军是被说动的那批贫困户之一。如今，他的三头牛变成了六头牛，还计划增加到十头。“三头牛和十头牛费的功夫差不多，但收益可差着好几倍。”一笔五万元的扶贫贷款，已让贫困户初尝杠杆的滋味。这是一条牵一发而动全身的产业链。为了风险相对可控，“小群体、大规模”仍是主要思路，马福学说，农户养殖的适宜规模就是十五头左右。http://t.cn/A6LDg6id 原图 ,,http://wx2.sinaimg.cn/large/61b8c41egy1gg8zk2fq29j20ku0dwqmp.jpg,无,无,2020-06-29 11:13,微博 weibo.com,23,10,10
J8MqvdWqQ,【“网红”古墓之怪现状：“拍视频的比考古的人还多”】大龙的成名作，是探访位于河北遵化的国家5A级景区清东陵。当时，经工作人员同意，大龙进入未对外开放的景陵后院参观。“这是康熙皇帝的碑，”大龙站在明楼上，指着远处的建筑说，“石五供，然后是二柱门，这个叫礓礤……”这个视频为他涨粉超过两百万。“未开放区域就一定比开放的区域好看吗？其实也不一定。”北京大学考古文博学院博士生奚牧凉关注大龙的视频很长时间，见证了大龙探秘清东陵未开放区域后的爆红。奚牧凉思考的是，为什么人们这么喜欢探秘这种“野的东西”。“文博在这几年快速大众化，进入到一种消费主义的环境中。人们希望消费文物，而且不满足于消费博物馆和文创，而是希望消费满足特权心态的东西，考古的过程也许都逐渐变得可以消费，”奚牧凉告诉南方周末记者，“这不单单是地方文物保护的问题，也是这个社会看待文物心态的变化。”http://t.cn/A6LEKJAZ 原图 ,,http://wx3.sinaimg.cn/large/61b8c41egy1gg8eh7zhh9j20ku0dwe21.jpg,无,无,2020-06-28 23:04,微博 weibo.com,78,19,16
J8Mooxv6u,【银行理财惊爆亏损，刚兑时代结束】向来以稳健、保本著称的银行理财也有了亏损的风险。据南方周末记者不完全统计，2020年以来，已有工商银行、招商银行、平安银行、建设银行等旗下二十余只银行理财产品净值告负。上述净值告负的理财大部分就投向了债市。2020年5月开始，债市大跌，导致各类投向债券的金融类产品价格都出现了不同程度的下跌。但过去债市下跌时，银行理财为何没出现亏损？2018年资管新规发布后，银行理财刚性兑付被打破，净值化管理要求银行能够及时反映资产的收益和风险。此外，宏观经济增速换挡，高增长又稳健的底层资产也不及过去丰富。总之，银行理财保本的时代，已经一去不复返了。http://t.cn/A6LuDceH 原图 ,,http://wx2.sinaimg.cn/large/61b8c41egy1gg8ecag8idj20ku0dwh3r.jpg,无,无,2020-06-28 22:58,微博 weibo.com,187,130,69
J8Hz7pGla,【幸福通勤，离你多远？】除通勤距离长外，拥挤的地铁和道路、天通苑为代表的“睡城”、学校医院等配套设施过于集中等也早就成为北京的老大难问题。《报告》选取了36个中国主要城市，从通勤范围、职住空间匹配、通勤距离、幸福通勤、公交服务、轨道覆盖6个方面描绘了城市通勤画像。被研究的36城中，绝大部分的5公里通勤人口比重都超过50%，说明有一半市民通勤范围在5公里范围内。“地铁线网的长度是够了，但线网的密度怎么样，是不是集中在人流量最大的地区？这是一个问题。”“无论怎么规划，落地到人的感受上就是你通勤要花多少时间。现在我们要做的，就是以‘时间’为标准，去反推城市该如何规划。”http://t.cn/A6LrHmpp [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/61b8c41egy1gg7t0rd30jj20c70icmzt.jpg,http://ww3.sinaimg.cn/large/61b8c41egy1gg7t0vast1j20cf0iqmzi.jpg,http://ww4.sinaimg.cn/large/61b8c41egy1gg7t0z5oyhj20ch0iftbg.jpg,http://ww1.sinaimg.cn/large/61b8c41egy1gg7t1380v1j20cm0getbk.jpg",无,无,2020-06-28 10:41,微博 weibo.com,88,48,37
J8Dmo0ViE,【班宇：我写小说不是为了自圆其说】《冬泳》是班宇的第一本短篇小说集，通常来说，新人的第一本书在印数上会相对谨慎，但这本书很快加印，并且迅速蹿红。“出圈”的直接诱因是易烊千玺在ins上的转发，引起了粉丝的追捧购买。对《冬泳》的出品方理想国来说，这是意外的惊喜。与此同时是来自主流文学界的肯定，新书面市两个月左右，班宇被《收获》杂志文学排行榜的九位评委票选为短篇小说组榜首。颁奖词这样写道：“作者就像是从巨大的崩溃中幸存折返的人，他掌握着满手的细节，慢慢陈列一些，又藏起更多，一段翻滚着尘世悲欢的穷游，既看山河风景，也探幽微人心。”对于小说家，最重要的有时不是第一本书，而是第二本。因为那代表着在最初的爆发力后可持续发展的稳定创作能力。不到两年时间，班宇交出了答卷。他的第二本小说集《逍遥游》，似乎再次验证了这位文学新人值得期待的程度。http://t.cn/A6LrQWlG 原图 ,,http://wx3.sinaimg.cn/large/61b8c41egy1gg7aguub49j20i80rch1p.jpg,无,无,2020-06-27 23:59,微博 weibo.com,76,43,11
J8tUkvNXi,【证监会对獐子岛用上黑科技，别以为造假“割韭”那么容易】为了对獐子岛的造假行为进行取证，证监会采用了高科技的手段。证监会在通报中透露，证监会借助卫星定位数据，对公司27条采捕船只数百余万条海上航行定位数据进行分析，委托两家第三方专业机构运用计算机技术还原了采捕船只的真实航行轨迹，复原了公司最近两年真实的采捕海域，进而确定实际采捕面积，并据此认定獐子岛公司成本、营业外支出、利润等存在虚假。这不是证监会第一次使用高科技对证券市场进行监管。在此之前，证监会就多次利用大数据分析技术来发现异常交易线索，并核实老鼠仓等非法操纵市场的行为。信息披露及时充分真实，是证券市场良性运作的基石。每一个国家的证券监管机构都将信息披露合规作为最重要的监管内容之一。如果一个市场上虚假的信息披露得不到有效的惩治，无疑会严重损害投资者利益，长此以往，这个市场终会被投资者抛弃。充分发挥现代信息技术的优势，能够大大提高监管能力和效率，及时发现和处理证券市场的违法违规行为，维护市场秩序和投资者利益。http://t.cn/A6L3aDEE 原图 ,,http://wx2.sinaimg.cn/large/61b8c41egy1gg64qg4sv2j20ku0dwqj7.jpg,无,无,2020-06-26 23:55,微博 weibo.com,216,22,49
J8ijkzbrw,【缅甸籍偷渡船翻沉澜沧江 船上27人为中国籍】云南省交通运输厅2020年6月25日中午通报，6月25日凌晨，一艘载有27人的船只在西双版纳傣族自治州境内澜沧江与南班河交汇处发生翻沉，截至中午12时，已搜救到17人。“获救的人说，侧翻发生在早晨七时许，他们准备前往缅甸，”一名参与事故处置的村干部称，“这种跨境严格来说都属于偷渡，但难度不大，不少边民都会选择这一交通工具。”多位村民表示，不少人搭乘渡船前往缅甸甚至泰国的目的“很日常”，多数是去做生意或探亲访友。 http://t.cn/A6LEKme4 ,,无,无,无,2020-06-25 18:23,微博 weibo.com,34,27,23
