微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J93RfiF99,#猛踹4脚救3人男子下回还会往上冲#【面包车侧翻起火男子猛踹4脚救3人：下回还会往上冲】6月26日，重庆永川一辆面包车在高速上失控，突然撞向护栏侧翻，随即起火，车内3人被困。一名过路司机立即上前，与面包车司机里应外合，4脚将挡风玻璃踹碎，帮助3人成功逃脱。所幸，除司机轻微擦伤外，其余并无人员受伤。过路司机表示有一点点害怕，当时火一下子燃起来了。但下回遇到类似的事情还是会第一时间冲上去。#重庆踹4脚救3人男子后怕但不后悔#  （来源：@易视频 ）http://t.cn/A6yvfRLT ,,无,无,无,2020-06-30 19:26,微博 weibo.com,92,8,13
J92fLpK9s,热爱的力量使我们成长，也使我们日趋强大。20年来，我们网聚人的力量，以科技创新缔造美好生活。网易传媒走过的每一个阶段、每一个产品都凝聚了网易人的匠心和用户的关切。我们会怀揣着对美好生活的热爱，给用户带来更多惊喜！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/75b52ed2ly1ggacchn2o9g20ku14k7wi.gif,http://ww1.sinaimg.cn/large/75b52ed2ly1ggaccmjgf6g20kw14cnpk.gif,http://ww1.sinaimg.cn/large/75b52ed2ly1ggacck0cfyg20kw14cx6u.gif,http://ww2.sinaimg.cn/large/75b52ed2ly1ggaccqh9pxg20kw14ckjq.gif,http://ww1.sinaimg.cn/large/75b52ed2ly1ggaccm284gg20kw14c7wl.gif,http://ww4.sinaimg.cn/large/75b52ed2ly1ggaccjzbfyg20kw14cx6p.gif,http://ww2.sinaimg.cn/large/75b52ed2ly1ggaccmd1rhg20kw14cx6r.gif,http://ww3.sinaimg.cn/large/75b52ed2ly1ggaipn3ndwg20kw14ckjn.gif,http://ww2.sinaimg.cn/large/75b52ed2ly1ggaccm3kdyj20kw14cqbc.jpg",无,无,2020-06-30 15:21,微博 weibo.com,11,14,8
J8S2no8mg,#班主任用工资给学生买鞋被质疑#【班主任#花一个月工资给108名毕业生买鞋#，为学生穿鞋系鞋带被部分网友质疑作秀？】6月27日，郑州电力职业技术学院的学生迎来毕业，班主任王老师为108位同学每人准备了一双鞋作为毕业礼物。据悉，108双鞋共4600多块钱，除了使用2000块班费，王老师还花了自己一个月的工资。为了让学生们毕业更有仪式感，王老师还逐个为学生穿鞋并系上鞋带。对此，多数网友表示感动，但是也有部分网友提出作秀的质疑。而当晚，为了感谢老师，108名学生还在楼下自发组织唱歌谢别老师。 （来源@易视频）http://t.cn/A6LDevn0 ,,无,无,无,2020-06-29 13:21,无,66,1,37
J8Ric78K1,【东莞#4小孩划花小区40多台车#，家长被索赔150万元】近日，广东东莞。某小区4名孩子划花40多辆车，包含宝马、林肯。物业人员称，家长遭索赔150多万。据报道，孩子家长认为物业有责任，甚至要起诉物业。樟木头派出所人员称，事件正处理中。澎湃新闻的微博视频  ,,无,无,无,2020-06-29 11:27,微博 weibo.com,117,12,35
J8QN93vZO,【#8岁男童惨遭17岁男生毒打#，打人者母亲：给我孩子重新做人的机会】25日，成都市某小区8岁男孩回家乘电梯时，被一名17岁的陌生男子尾随，随后被拖拽至地下停车场，惨遭多番毒打，被找到时伤痕累累，浑身是血。目前，#殴打8岁男童嫌疑人已被刑拘#。而打人者的母亲，则在业主群表示，“不出事都已经出了。希望给我的孩子重新做人的机会。受害者家庭有什么要求，都可以尽最大的努力去补救。”  大家对于这件事怎么看？这个疯狂殴打男童的17岁男生值得被原谅吗？#电梯内绑走8岁男童嫌疑人已被刑拘#（来源@易视频 ）http://t.cn/A6Lg0Gfi ,,无,无,无,2020-06-29 10:10,无,255,35,145
J8JmvoZFu,#隐秘的角落#【坏小孩究竟是如何变坏的】原生家庭、童年创伤，注定无法逃脱吗？事实上，不仅是精神健康，童年创伤对于一生的身体健康的影响同样巨大。而调查研究显示，童年创伤几乎是一个大概率事件，你经历过吗？  网易新闻客户端的微博视频  ,,无,无,无,2020-06-28 15:15,微博视频,9,5,3
J8zVjrxt2,【#宜昌暴雨交警爬车顶砸窗救人# 】6月27日，湖北宜昌多地遭暴雨袭击，道路积水严重。夷陵区某路口，多辆车辆被淹，一女子站齐腰深水中砸窗求救，最终在民警帮助下，车内人员被成功救出。据悉，当地已发布暴雨红色预警信号，提醒广大市民安全出行。#宜昌暴雨交警砸窗救人#  @易视频 http://t.cn/A6LBtfMP ,,无,无,无,2020-06-27 15:14,无,36,22,9
J8hvZjfM6,【#青岛游客捡到鲍鱼被村民索要500#：这片海被我们承包了】6月24日，几名游客在青岛崂山海里捡到一只鲍鱼，却被附近村民要500元，不给不让走。村民称这片海域被他们承包了，最后游客交了80元并报警。经过村委书记和街道办事处以及崂山风景管理局的工作人员调解，村民退还了80元钱，并且对他的行为表示道歉。@易视频 #青岛游客海里捡鲍鱼被要500块#  http://t.cn/A6LEGcmu ,,无,无,无,2020-06-25 16:22,无,345,31,141
J8fdk7n2i,#端午节#又是一年端午时，“端”有开头、初始之意，在这个疫情还未褪去的夏天，我们不仅要向那些仍然奋战在一线的工作者敬祝安康，同时也要为即将面临高考的学子打气，愿他们笃定前行，迎接挑战，上下求索，守护传承，“易”气风发，金榜高“粽”！带话题#高考加油#转发本条微博，我们将于6月28日抽3名粉丝，送出【网易味央端午礼盒】哦！ http://t.cn/A6LgeUNH 原图 ,,http://wx3.sinaimg.cn/large/75b52ed2ly1gg4by7uqg1g20kk13z7wq.gif,无,无,2020-06-25 10:30,微博 weibo.com,67,315,100
J88ncudYn,【#高校毕业典礼男生冲上台向女友求婚#  校领导全程“海豹式”鼓掌】6月22日浙江@宁波大学 举办了2020届学生毕业典礼，在当天的典礼上，一位女生完成拨穗后与校领导们合影时，与她相恋7年的男友拿着鲜花和戒指冲上台，单膝跪地向女生求婚，现场顿时一片沸腾。身后的校领导露出了慈父般的笑容，全程“海豹式”鼓掌，还把旁边的老师拉过来一起鼓掌。求婚成功后，两人向校领导和师生鞠躬致意后离开。网友直呼：太甜啦！#毕业典礼男生冲上台向女友求婚# @易视频 http://t.cn/A6LQzUZX ,,无,无,无,2020-06-24 17:06,微博 weibo.com,93,9,25
